Command-Line, Time, Executable, Parent PID, PID, User, Privileges
"C:\WINDOWS\System32\SearchProtocolHost.exe" Global\UsGthrFltPipeMssGthrPipe17_ Global\UsGthrCtrlFltPipeMssGthrPipe17 1 -2147483646 "Software\Microsoft\Windows Search" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)" "C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc" "DownLevelDaemon" , 20240618152042.610224+180, C:\WINDOWS\System32\SearchProtocolHost.exe, 4308, 5736, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
"C:\WINDOWS\System32\SearchFilterHost.exe" 844 4192 4204 828 {7FC3863B-7471-4B10-84E3-A5C2E0330618}, 20240618152043.318856+180, C:\WINDOWS\System32\SearchFilterHost.exe, 4308, 8080, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
Command-Line, Time, Executable, Parent PID, PID, User, Privileges
"C:\Program Files\Sublime Text\sublime_text.exe" , 20240618152229.660208+180, C:\Program Files\Sublime Text\sublime_text.exe, 8580,10032, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
C:\Windows\System32\smartscreen.exe -Embedding, 20240618152229.619702+180, C:\Windows\System32\smartscreen.exe, 1284,1648, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"/C/Program Files/Sublime Text/plugin_host-3.3.exe" 10032 "/C/Program Files/Sublime Text/sublime_text.exe" "/C/Users/Saher Mohamed/AppData/Roaming/Sublime Text" "/C/Users/Saher Mohamed/AppData/Local/Sublime Text" "/C/Program Files/Sublime Text/Packages", 20240618152232.836487+180, C:\Program Files\Sublime Text\plugin_host-3.3.exe, 10032,1348, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"/C/Program Files/Sublime Text/plugin_host-3.8.exe" 10032 "/C/Program Files/Sublime Text/sublime_text.exe" "/C/Users/Saher Mohamed/AppData/Roaming/Sublime Text" "/C/Users/Saher Mohamed/AppData/Local/Sublime Text" "/C/Program Files/Sublime Text/Packages", 20240618152232.845091+180, C:\Program Files\Sublime Text\plugin_host-3.8.exe, 10032,14144, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
C:\WINDOWS\system32\svchost.exe -k LocalService -p -s CaptureService, 20240618152438.825844+180, C:\WINDOWS\system32\svchost.exe, 1048,12248, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\ScreenClippingHost.exe" -ServerName:ScreenClipping.AppX6726kd2wrry6c6n8nc57a1zn08dmzmbt.mca, 20240618152438.579612+180, C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\ScreenClippingHost.exe, 1284,7896, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\WINDOWS\system32\backgroundTaskHost.exe" -ServerName:App.AppXrtfr0c1qqwwn37c1x1br7dcmq4wkjgba.mca, 20240618152438.982527+180, C:\WINDOWS\system32\backgroundTaskHost.exe, 1284,10860, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\WINDOWS\System32\SearchProtocolHost.exe" Global\UsGthrFltPipeMssGthrPipe18_ Global\UsGthrCtrlFltPipeMssGthrPipe18 1 -2147483646 "Software\Microsoft\Windows Search" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)" "C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc" "DownLevelDaemon" , 20240618152439.657778+180, C:\WINDOWS\System32\SearchProtocolHost.exe, 4308,11816, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
"C:\WINDOWS\System32\SearchFilterHost.exe" 844 4192 4204 828 {7FC3863B-7471-4B10-84E3-A5C2E0330618}, 20240618152439.698355+180, C:\WINDOWS\System32\SearchFilterHost.exe, 4308,4356, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
None, 20240618152438.996885+180, None, 1048,6964, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
"C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\ScreenClippingHost.exe" -ServerName:ScreenClipping.AppX6726kd2wrry6c6n8nc57a1zn08dmzmbt.mca, 20240618152459.144475+180, C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\ScreenClippingHost.exe, 1284,5820, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
C:\Windows\System32\RuntimeBroker.exe -Embedding, 20240618152503.343454+180, C:\Windows\System32\RuntimeBroker.exe, 1284,12928, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s DsSvc, 20240618152503.127020+180, C:\WINDOWS\System32\svchost.exe, 1048,14160, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
"C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2201.12.0_x64__8wekyb3d8bbwe\ScreenSketch.exe" -ServerName:App.AppX4k4k4wd0fmhfvg9v37catz0s8k6m08gh.mca, 20240618152505.383577+180, C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2201.12.0_x64__8wekyb3d8bbwe\ScreenSketch.exe, 1284,10048, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
C:\Windows\System32\PickerHost.exe -Embedding, 20240618152508.571102+180, C:\Windows\System32\PickerHost.exe, 1284,9724, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\WINDOWS\System32\SearchFilterHost.exe" 844 3688 620 828 {06DC0F6A-A3E7-4365-A8E8-F674FE2E6361}, 20240618152516.470968+180, C:\WINDOWS\System32\SearchFilterHost.exe, 4308,10200, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
"C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2019.19071.12548.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe" -ServerName:App.AppXzst44mncqdg84v7sv6p7yznqwssy6f7f.mca, 20240618152529.818190+180, None, 1284,9412, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
C:\Windows\System32\RuntimeBroker.exe -Embedding, 20240618152530.016820+180, C:\Windows\System32\RuntimeBroker.exe, 1284,4064, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\Google\Chrome\Application\chrome.exe" , 20240618152541.798954+180, C:\Program Files\Google\Chrome\Application\chrome.exe, 8580,10584, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=crashpad-handler "--user-data-dir=C:\Users\Saher Mohamed\AppData\Local\Google\Chrome\User Data" /prefetch:4 --monitor-self-annotation=ptype=crashpad-handler "--database=C:\Users\Saher Mohamed\AppData\Local\Google\Chrome\User Data\Crashpad" --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=126.0.6478.61 --initial-client-data=0x150,0x154,0x158,0x12c,0x15c,0x7ffed3431c70,0x7ffed3431c7c,0x7ffed3431c88, 20240618152541.832845+180, C:\Program Files\Google\Chrome\Application\chrome.exe, 10584,4072, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
